Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore
Azienda G,BARBERIGO,Stringate,139.99,118.99,True,black
Azienda G,U FLEXTRIDE PLUS,Scarpe senza lacci,92.5,92.5,False,black
Azienda C,UN COSTA LACE,Sneakers basse,110.0,110.0,False,british tan
Azienda G,Sneakers basse,navy,139.9,139.9,False,
Azienda C,CLEYHILL,Scarpe da barca,119.99,119.99,False,brown
Azienda NG,Stringate eleganti,blu,143.55,143.55,False,
Azienda G,U FLEXTRIDE PLUS,Scarpe senza lacci,109.9,109.9,False,white
Azienda G,PLUS,Sneakers basse,139.99,104.99,True,navy/blue
Azienda C,Sneakers basse,khaki,74.99,74.99,False,
Azienda C,TORHILL LO,Stringate sportive,109.99,92.99,True,navy
Azienda G,U BARBERIGO,Stringate,139.99,118.99,True,coffee
Azienda C,TORHILL LO,Stringate sportive,109.99,92.99,True,white
Azienda G,U FLEXTRIDE PLUS,Scarpe senza lacci,109.9,109.9,False,navy
Azienda G,Scarpe senza lacci,brown,74.9,74.9,False,
Azienda C,Sneakers basse,off white suede g,109.99,92.99,True,
Azienda C,SNEAKER,Sneakers basse,79.0,70.0,True,navy
Azienda C,CLEYHILL,Stringate sportive,119.99,89.99,True,black
Azienda C,LIFESTYLE-SOLEVANA STYLE,Sneakers basse,85.0,85.0,False,sand g
Azienda G,U SPHERICA EC,Mocassini,119.99,101.99,True,dark navy
Azienda G,DEIVEN,Sneakers basse,109.9,109.9,False,light brown
Azienda G,PLUS,Sneakers basse,139.99,83.99,True,sand/yellow
Azienda G,U SPHERICA EC12,Sneakers basse,119.9,119.9,False,navy
Azienda G,U SPHERICA,Sneakers basse,99.9,99.9,False,light grey grey
Azienda C,PACE RISE,Sneakers basse,129.99,70.99,True,white
Azienda G,U SPHERICA ,Sneakers basse,129.9,129.9,False,cognac
Azienda C,TORHILL LO,Stringate sportive,119.99,89.99,True,red
Azienda C,LOCKFORD EASY,Scarpe senza lacci,81.0,81.0,False,navy leather
Azienda C,CHARMOUTH LACE,Scarpe da barca,89.99,89.99,False,brown
Azienda C,TORHILL LO,Stringate sportive,109.99,109.99,False,cola suede
Azienda C,DESERT,Stringate sportive,129.99,96.99,True,sand
Azienda NG,Sneakers basse,incanto,145.0,123.0,True,
Azienda C,LITE RUN,Sneakers basse,109.0,96.0,True,blau
Azienda C,PACE RISE,Sneakers basse,90.99,90.99,False,black
Azienda G,U SERIFOS C4021 VAR,Sneakers basse,99.9,99.9,False,dark blue
Azienda G,U WALK PLEASURE B,Stringate eleganti,169.9,169.9,False,cognac
Azienda C,CLEYHILL,Scarpe da barca,119.99,89.99,True,navy
