Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore
Azienda G,SPHERICA ECUB 1,Scarpe senza lacci,155.87,155.87,False,navy
Azienda C,Stivaletti stringati,dark sand wlined,161.95,161.95,False,
Azienda C,Stringate sportive,navy combi,150.0,150.0,False,
Azienda C,Stivaletti stringati,dark sand suede,140.0,140.0,False,
Azienda C,SOLSBURY EASY,Stivaletti,152.95,152.95,False,brown
Azienda C,Stivaletti stringati,black wlined lea,161.95,161.95,False,
Azienda C,POLDEN MOC,Stringate sportive,103.2,103.2,False,grün
Azienda C,Stivaletti stringati,schwarz,160.0,160.0,False,
Azienda G,SYMBOL,Stringate sportive,109.99,109.99,False,black
Azienda C,CLARKDALE EASY,Stivaletti,159.99,159.99,False,black
Azienda C,CRAFTARLO LIMIT,Stringate,119.99,119.99,False,tan
Azienda C,WALLABEEGTX,Stringate sportive,229.99,229.99,False,black
Azienda C,WALLABEE,Stringate sportive,129.99,129.99,False,beeswax
