Scarpe,Categoria,Prezzo reale,Prezzo scontato,Materiale,In sconto,Materiale_pulito,Macro_categoria,Micro_categoria,Brand
Romsey Tie,Scarpe sportive da uomo,80.0,80.0,Pelle nera,False,Pelle,Sneakers,Sneakers basse,C
Torview,Scarpe da uomo,130.0,130.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Torview,Scarpe da uomo,130.0,130.0,Camoscio nero,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Paulton Lace,Scarpe da uomo,100.0,100.0,Abbronzatura,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Paulton Lace,Scarpe da uomo,100.0,100.0,Nero,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Paulton Lo,Scarpe da uomo,100.0,100.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft Rally Ace,Scarpe sportive da uomo,110.0,110.0,Camoscio nero,False,Camoscio,Sneakers,Sneakers basse,C
Walla Yukoner,Scarpe Originals da Uomo,210.0,210.0,Grano scozzese marrone,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Meare Walla,Scarpe Originals Icon da Uomo,130.0,130.0,Pelle scamosciata marrone scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Romsey Lace,Scarpe sportive da uomo,79.95,79.95,Pelle nera,False,Pelle,Sneakers,Sneakers basse,C
Lapford Lace,Scarpe da uomo,89.95,89.95,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Motion Trek MX,Scarpe da uomo,99.95,99.95,Marina Militare,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Motion Trek MX,Scarpe da uomo,99.95,99.95,Cachi,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Clarks Pro Free,Scarpe da uomo,110.0,110.0,Maglia nera,False,Maglia,Scarpe eleganti,Stringate / Derby,C
Courtlite2 Run,Scarpe sportive da uomo,119.0,119.0,Nabuk oliva,False,Nabuk,Sneakers,Sneakers basse,C
Courtlite2 Run,Scarpe sportive da uomo,100.0,100.0,Nabuk blu scuro,False,Nabuk,Sneakers,Sneakers basse,C
Solsbury Mule,Sandali da uomo,119.0,119.0,Camoscio Sabbia Scuro,False,Camoscio,Sandali,Sandali aperti,C
Solsbury Mule,Sandali da uomo,100.0,100.0,Cola scamosciata,False,Non specificato,Sandali,Sandali aperti,C
Polden Moc,Scarpe da uomo,110.0,110.0,Cola scamosciata,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Eldredge Plain,Scarpe da uomo,120.0,120.0,Pelle marrone scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft James Lo,Scarpe da uomo,195.0,195.0,Combinazione verde scuro,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Desert Trek GORE-TEX,Scarpe Originals da Uomo,170.0,170.0,Camoscio Sabbia,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Wallabee GORE-TEX,Scarpe Originals da Uomo,230.0,230.0,Pelle scamosciata d'acero,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft James Cap,Scarpe da uomo,195.0,195.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft James Lo Loafer,Scarpe da uomo,160.0,160.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft James Tip Brogue,Scarpe da uomo,160.0,160.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft James Tip Brogue,Scarpe da uomo,160.0,160.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Wesley Sun,Sandali Sportivi da Uomo,59.95,59.95,Pelle di cera d'api,False,Pelle,Sandali,Sandali sportivi,C
Sailview Step Loafer,Scarpe da uomo,90.0,90.0,Nabuk blu scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Sailview Step Loafer,Scarpe da uomo,90.0,90.0,Nabuk marrone chiaro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Sailview Lace,Scarpe da uomo,90.0,90.0,Nabuk blu scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
