Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore,Macro_categoria,Micro_categoria
G,Dublin,Stringate eleganti,98.78,98.78,False,black urcc,Scarpe eleganti,Stringate / Derby
G,Iacopo,Stringate eleganti,139.99,104.99,True,cognac,Scarpe eleganti,Stringate / Derby
G,Urbanglider,Sneakers basse,119.99,119.99,False,navy,Sneakers,Sneakers basse
G,Light Olive Green,Scarpe da barca,99.9,99.9,False,,Mocassini,Boat shoes
C,Cleyhill,Scarpe da barca,119.99,89.99,True,black,Mocassini,Boat shoes
G,Snake Original,Sneakers basse,81.99,81.99,False,navy,Sneakers,Sneakers basse
C,Torhill Lo,Stringate sportive,102.0,102.0,False,olive suede,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,99.9,99.9,False,navy dark avio,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,129.99,96.99,True,dark brown,Sneakers,Sneakers basse
C,Craft James Lo,Scarpe senza lacci,160.0,143.2,True,black,Sneakers,Sneakers basse
G,Recanati,Mocassini eleganti,129.9,129.9,False,black,Mocassini,Mocassini
G,Barberigo,Stringate,139.99,104.99,True,black,Scarpe eleganti,Stringate / Derby
G,Vittour Plus A,Sneakers basse,90.0,90.0,False,dark navy-navy,Sneakers,Sneakers basse
G,Flextride Plus,Sneakers basse,99.9,99.9,False,dove grey,Sneakers,Sneakers basse
G,Xand 2S,Sandali,89.9,89.9,False,black,Sandali,Sandali aperti
G,Herren  U Spherica Plus Fast In U65Mpe 06Kek,Sneakers basse,119.9,119.9,False,off white brown,Sneakers,Sneakers basse
C,Braun,Stringate,110.0,93.5,True,,Scarpe eleganti,Stringate / Derby
C,- Torford Easy 47,Mocassini,90.0,76.5,True,braun,Mocassini,Mocassini
G,Deiven,Sneakers basse,109.9,109.9,False,black,Sneakers,Sneakers basse
G,Sneaker,Sneakers basse,118.95,118.95,False,white/navy,Sneakers,Sneakers basse
G,Spherica,Scarpe senza lacci,135.0,135.0,False,navy,Sneakers,Sneakers basse
C,Goswell,Sneakers basse,109.0,96.0,True,schwarz,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,159.99,135.99,True,maple,Sneakers,Sneakers basse
G,Sand C,Sneakers basse,99.9,99.9,False,,Sneakers,Sneakers basse
C,Polden,Stringate sportive,129.98,116.95,True,navy,Sneakers,Sneakers basse
G,Iacopo,Stringate eleganti,139.9,139.9,False,black,Scarpe eleganti,Stringate / Derby
G,Spherica Ecub,Sneakers basse,139.9,139.9,False,navy,Sneakers,Sneakers basse
G,Symbol,Stringate sportive,109.9,109.9,False,black,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,109.9,109.9,False,bleu marine,Sneakers,Sneakers basse
G,Dark Avio Navy,Sneakers basse,119.0,101.0,True,,Sneakers,Sneakers basse
G,Noir,Sneakers basse,88.95,88.95,False,,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,white musk,Sneakers,Sneakers basse
G,Ghita,Sandali,79.9,79.9,False,dark coffee,Sandali,Sandali aperti
C,Meare Walla,Stringate,109.99,109.99,False,maple suede,Scarpe eleganti,Stringate / Derby
G,Spherica Ec,Mocassini,129.9,129.9,False,dark brown,Mocassini,Mocassini
C,Polden,Stringate sportive,129.98,129.98,False,cola,Sneakers,Sneakers basse
C,Maple,Stringate sportive,159.99,159.99,False,,Sneakers,Sneakers basse
C,Cleyhill,Stringate sportive,108.0,108.0,False,dark sand,Sneakers,Sneakers basse
G,Dove Grey C,Sneakers basse,109.9,109.9,False,,Sneakers,Sneakers basse
G,Sneaker,Sneakers basse,99.0,84.0,True,dk avio navy c kf,Sneakers,Sneakers basse
G,Navy,Sneakers basse,109.9,109.9,False,,Sneakers,Sneakers basse
C,Desert,Stivaletti stringati,134.25,134.25,False,sand,Stivali & Stivaletti,Stivaletti
G,Terreno Grip,Sandali da trekking,79.9,79.9,False,navy,Sandali,Sandali sportivi
G,Schwarz,Mocassini,129.99,109.99,True,,Mocassini,Mocassini
G,Spherica Ec,Mocassini,129.9,129.9,False,dove grey,Mocassini,Mocassini
C,Wallabee,Stringate sportive,129.99,109.99,True,navy,Sneakers,Sneakers basse
G,Spherica Actif X1,Sneakers basse,119.0,101.0,True,musk,Sneakers,Sneakers basse
G,Flextride,Sneakers basse,87.9,87.9,False,black,Sneakers,Sneakers basse
C,Torview,Stringate sportive,139.99,83.99,True,navy,Sneakers,Sneakers basse
G,Dynamia,Sneakers basse,145.0,145.0,False,white,Sneakers,Sneakers basse
G,Metropoli,Sneakers basse,145.0,145.0,False,white natural,Sneakers,Sneakers basse
G,Strada,Sandali da trekking,79.99,67.99,True,brown/sand,Sandali,Sandali sportivi
C,Desert,Stivaletti stringati,110.0,93.5,True,beige,Stivali & Stivaletti,Stivaletti
G,Urbanglider,Sneakers basse,125.0,125.0,False,sand,Sneakers,Sneakers basse
G,Black,Sneakers basse,79.9,79.9,False,,Sneakers,Sneakers basse
NG,Talpa,Scarpe senza lacci,139.5,139.5,False,,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,139.9,139.9,False,black,Sneakers,Sneakers basse
G,Black,Stringate eleganti,99.9,99.9,False,,Scarpe eleganti,Stringate / Derby
G,Spherica Ecub,Sneakers basse,139.9,139.9,False,navy,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,159.99,159.99,False,grey,Sneakers,Sneakers basse
C,Clarks Lifestyle-Schuhe M Radwell Tie,Sneakers basse,99.95,99.95,False,navy suede,Sneakers,Sneakers basse
G,Flextride F Plus,Sneakers basse,109.0,87.2,True,navy,Sneakers,Sneakers basse
G,Spherica Actif X1,Sneakers basse,119.9,119.9,False,light grey,Sneakers,Sneakers basse
G,Browncotto,Sandali,89.99,89.99,False,,Sandali,Sandali aperti
G,Spherica Plus,Sneakers basse,109.9,109.9,False,musk u mpa kekc,Sneakers,Sneakers basse
G,Metropoli,Sneakers basse,145.0,145.0,False,navy dark avio,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,99.9,99.9,False,grün,Sneakers,Sneakers basse
G,Recanati,Mocassini eleganti,119.0,101.0,True,black,Mocassini,Mocassini
G,Spherica Ecub-1 B,Sneakers basse,139.0,118.0,True,papyrus,Sneakers,Sneakers basse
G,S Strada,Sandali da trekking,79.9,79.9,False,brown,Sandali,Sandali sportivi
G,Spherica Actif,Sneakers basse,119.9,119.9,False,light grey/dark grey,Sneakers,Sneakers basse
G,Spherica,Scarpe senza lacci,135.0,135.0,False,dark brown,Sneakers,Sneakers basse
G,Serifos,Mocassini,109.9,109.9,False,light brown,Mocassini,Mocassini
G,Dynamia,Sneakers basse,145.0,145.0,False,white natural,Sneakers,Sneakers basse
C,Sneaker Torhill,Sneakers basse,119.95,119.95,False,weiß,Sneakers,Sneakers basse
C,Polden Moc,Stringate sportive,85.0,85.0,False,verde,Sneakers,Sneakers basse
G,Dynamia,Sneakers basse,145.0,145.0,False,navy,Sneakers,Sneakers basse
G,Strada,Sandali da trekking,79.9,79.9,False,black,Sandali,Sandali sportivi
G,Baltmoore,Scarpe skate,98.96,98.96,False,black,Sneakers,Sneakers basse
G,Iacopo,Stringate eleganti,139.9,139.9,False,black,Scarpe eleganti,Stringate / Derby
NG,Avio,Sneakers basse,199.9,168.95,True,,Sneakers,Sneakers basse
G,Sedral Court,Sneakers basse,119.9,119.9,False,natural white,Sneakers,Sneakers basse
G,Medos,Mocassini eleganti,199.9,199.9,False,light brown,Mocassini,Mocassini
C,Godney,Scarpe da barca,123.5,123.5,False,brown,Mocassini,Boat shoes
C,Dark Sand Nubuck,Sneakers basse,140.0,140.0,False,,Sneakers,Sneakers basse
NG,Nero,Stringate eleganti,159.0,135.0,True,,Scarpe eleganti,Stringate / Derby
C,Courtlite2 Run,Sneakers basse,171.0,171.0,False,grey,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,88.95,88.95,False,blue c,Sneakers,Sneakers basse
C,Loafer Lockford Easy,Scarpe senza lacci,81.0,81.0,False,dark sand suede,Sneakers,Sneakers basse
G,Serifos,Sneakers basse,99.9,99.9,False,off white/navy,Sneakers,Sneakers basse
G,Strada,Sandali da trekking,79.9,79.9,False,sand/navy,Sandali,Sandali sportivi
G,Spherica Actif,Sneakers basse,119.9,119.9,False,white off white,Sneakers,Sneakers basse
NG,Nero,Mocassini eleganti,159.5,135.58,True,,Mocassini,Mocassini
G,S Strada,Sandali da trekking,79.9,59.9,True,black,Sandali,Sandali sportivi
G,Spherica Actif X1,Sneakers basse,119.9,119.9,False,navy,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,159.99,159.99,False,brown,Sneakers,Sneakers basse
NG,Mocassini,Scarpe senza lacci,142.0,142.0,False,marrone,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,139.9,139.9,False,papyrus,Sneakers,Sneakers basse
G,Schwarz,Sneakers basse,124.14,95.42,True,,Sneakers,Sneakers basse
G,Spherica Ecub,Scarpe senza lacci,119.9,119.9,False,navy,Sneakers,Sneakers basse
G,Walk Pleasure B,Stringate,169.9,169.9,False,black,Scarpe eleganti,Stringate / Derby
G,Spherica Ecub,Scarpe senza lacci,119.9,119.9,False,musk,Sneakers,Sneakers basse
G,Spherica Ec17,Scarpe senza lacci,135.0,135.0,False,toffee,Sneakers,Sneakers basse
G,Vittour,Sneakers basse,89.9,89.9,False,dark blue,Sneakers,Sneakers basse
G,Flextride Plus,Scarpe senza lacci,129.9,96.95,True,light brown,Sneakers,Sneakers basse
G,Black,Stivaletti,104.9,104.9,False,,Stivali & Stivaletti,Stivaletti
C,Dark Sand Lea,Stringate sportive,107.91,107.91,False,,Sneakers,Sneakers basse
