Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore,Macro_categoria,Micro_categoria
G,Plus,Sneakers basse,139.9,139.9,False,braun,Sneakers,Sneakers basse
G,Geox,Mocassini eleganti,145.0,145.0,False,black,Mocassini,Mocassini
G,Weiß,Sneakers basse,109.95,109.95,False,,Sneakers,Sneakers basse
G,Spherica,Stivaletti,99.95,99.95,False,coffee,Stivali & Stivaletti,Stivaletti
G,Spherica Actif,Sneakers basse,119.9,119.9,False,musk graphite,Sneakers,Sneakers basse
NG,Ivory,Sneakers basse,189.0,160.65,True,,Sneakers,Sneakers basse
G,Spherica Ec1,Stivaletti,109.95,109.95,False,mud,Stivali & Stivaletti,Stivaletti
G,Parnaiba,Ciabattine,79.9,79.9,False,dark brown,Ciabatte & Pantofole,Ciabatte
G,Weiß,Sneakers basse,149.0,119.2,True,,Sneakers,Sneakers basse
NG,Sneaker,Sneakers basse,199.9,158.95,True,yogurt,Sneakers,Sneakers basse
NG,Bianco,Sneakers basse,189.0,150.95,True,,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,129.9,129.9,False,navy,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,126.0,126.0,False,cola,Sneakers,Sneakers basse
G,Claudio A,Stivaletti stringati,99.0,89.1,True,light grey,Stivali & Stivaletti,Stivaletti
G,Blau,Sandali da trekking,96.98,81.95,True,,Sandali,Sandali sportivi
G,Kosmopolis  Grip,Scarpe da barca,119.9,119.9,False,red,Mocassini,Boat shoes
C,Black Sde,Stivaletti stringati,84.0,84.0,False,,Stivali & Stivaletti,Stivaletti
G,Spherica,Stivaletti stringati,126.95,126.95,False,mottled beige,Stivali & Stivaletti,Stivaletti
G,Mud C,Stivaletti,98.91,98.91,False,,Stivali & Stivaletti,Stivaletti
G,Spherica Ec17,Stringate,135.0,135.0,False,toffee,Scarpe eleganti,Stringate / Derby
G,Lt Brown/Black C,Stivaletti stringati,313.42,149.14,True,,Stivali & Stivaletti,Stivaletti
NG,Fango,Sneakers basse,175.0,175.0,False,,Sneakers,Sneakers basse
G,Light Brown,Stivaletti stringati,104.9,104.9,False,,Stivali & Stivaletti,Stivaletti
NG,Sneakers,Sneakers basse,159.5,159.5,False,bianco,Sneakers,Sneakers basse
NG,Sneakers,Sneakers basse,149.5,149.5,False,blu,Sneakers,Sneakers basse
G,Avery,Sneakers basse,99.0,84.0,True,gris colombe,Sneakers,Sneakers basse
NG,Blu,Stivaletti,150.0,150.0,False,,Stivali & Stivaletti,Stivaletti
C,Orson Harbour,Scarpe da barca,123.25,123.25,False,navy combi,Mocassini,Boat shoes
NG,Bianco,Sneakers basse,209.9,209.9,False,,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,sand dove grey c,Sneakers,Sneakers basse
G,Spherica Ec1,Stivaletti,129.9,116.91,True,dark brown,Stivali & Stivaletti,Stivaletti
C,Grün,Stringate sportive,134.95,134.95,False,,Sneakers,Sneakers basse
G,Flextride Plus,Sneakers basse,87.9,87.9,False,military,Sneakers,Sneakers basse
G,Portello B,Scarpe senza lacci,99.9,99.9,False,light grey,Sneakers,Sneakers basse
G,Dark Avio,Mocassini,119.9,119.9,False,,Mocassini,Mocassini
G,Spherica Ec17,Stringate sportive,135.0,135.0,False,dove grey,Sneakers,Sneakers basse
G,Light Grey Navy,Sneakers basse,119.0,101.0,True,,Sneakers,Sneakers basse
G,Sneaker Gxrn,Sneakers basse,145.0,145.0,False,blau,Sneakers,Sneakers basse
G,Spherica Ecub,Stivaletti stringati,126.95,126.95,False,black,Stivali & Stivaletti,Stivaletti
NG,Blu,Sneakers basse,171.0,171.0,False,,Sneakers,Sneakers basse
G,Navy,Stivaletti stringati,119.9,89.9,True,,Stivali & Stivaletti,Stivaletti
G,Braun,Stivaletti stringati,151.95,151.95,False,,Stivali & Stivaletti,Stivaletti
G,Iacopo,Stringate eleganti,139.9,139.9,False,coffee,Scarpe eleganti,Stringate / Derby
G,Capitale,Stringate,199.9,199.9,False,light brown,Scarpe eleganti,Stringate / Derby
G,Spherica Actif,Sneakers basse,119.9,119.9,False,avio navy,Sneakers,Sneakers basse
G,Spherica Actif X 4,Sneakers basse,119.9,119.9,False,musk,Sneakers,Sneakers basse
G,Sand,Sandali da trekking,99.95,99.95,False,,Sandali,Sandali sportivi
NG,Blu,Stringate,135.0,135.0,False,,Scarpe eleganti,Stringate / Derby
NG,Blu,Stivaletti stringati,112.0,112.0,False,,Stivali & Stivaletti,Stivaletti
G,Nero,Stivaletti,96.95,96.95,False,,Stivali & Stivaletti,Stivaletti
G,Spherica,Sneakers basse,95.9,95.9,False,blau,Sneakers,Sneakers basse
G,Navy,Stivaletti,74.9,74.9,False,,Stivali & Stivaletti,Stivaletti
G,Spherica Actif X 4,Sneakers basse,125.62,113.09,True,sand,Sneakers,Sneakers basse
G,Dk Coffee,Stivaletti,74.9,74.9,False,,Stivali & Stivaletti,Stivaletti
G,Nero,Sneakers basse,129.9,129.9,False,,Sneakers,Sneakers basse
NG,Savana,Sneakers basse,175.0,175.0,False,,Sneakers,Sneakers basse
C,Solsbury Slide,Ciabattine,89.99,89.99,False,dark sand,Ciabatte & Pantofole,Ciabatte
G,Spherica Ecub-1 B,Scarpe senza lacci,129.9,129.9,False,dark blue,Sneakers,Sneakers basse
G,Spherica Ec7,Stivaletti,149.9,149.9,False,dark brown,Stivali & Stivaletti,Stivaletti
G,Ascanio,Mocassini,99.9,99.9,False,mottled beige,Mocassini,Mocassini
G,Spherica Actif X2 B Abx D,Sneakers alte,169.9,169.9,False,screziato mottled black,Sneakers,Sneakers alte
G,Black,Stringate eleganti,139.9,139.9,False,,Scarpe eleganti,Stringate / Derby
NG,T Moro,Sneakers basse,189.9,166.95,True,,Sneakers,Sneakers basse
G,Spherica,Stringate eleganti,97.99,97.99,False,coffee,Scarpe eleganti,Stringate / Derby
G,Spherica Ec17,Stringate sportive,135.0,135.0,False,navy,Sneakers,Sneakers basse
NG,Osso,Sneakers basse,189.9,160.95,True,,Sneakers,Sneakers basse
G,Ascanio,Mocassini,99.9,99.9,False,dark blue,Mocassini,Mocassini
G,Plus,Sneakers basse,139.9,139.9,False,musk black,Sneakers,Sneakers basse
G,Military C,Stivaletti,65.94,65.94,False,,Stivali & Stivaletti,Stivaletti
G,Navy C,Ciabattine,79.9,79.9,False,,Ciabatte & Pantofole,Ciabatte
C,Clarkdale Easy,Stivaletti,152.95,152.95,False,mottled brown,Stivali & Stivaletti,Stivaletti
NG,Marrone,Sneakers basse,119.6,119.6,False,,Sneakers,Sneakers basse
G,Spherica Ec7,Stivaletti,194.87,194.87,False,brown cotto,Stivali & Stivaletti,Stivaletti
G,Capitale,Stringate,199.9,199.9,False,coffee,Scarpe eleganti,Stringate / Derby
C,Wallabee,Stringate sportive,160.0,124.9,True,dark brown,Sneakers,Sneakers basse
G,Strada,Sandali da trekking,79.9,79.9,False,dark brown,Sandali,Sandali sportivi
G,Walk Pleasure,Stringate,169.9,169.9,False,dark brown,Scarpe eleganti,Stringate / Derby
NG,Tortora,Sneakers basse,141.0,141.0,False,,Sneakers,Sneakers basse
G,Snake Original,Sneakers basse,109.9,109.9,False,ochre,Sneakers,Sneakers basse
G,Military,Sandali da trekking,96.98,87.25,True,,Sandali,Sandali sportivi
NG,Nero,Mocassini eleganti,140.0,140.0,False,,Mocassini,Mocassini
G,Strada,Sandali da trekking,79.9,79.9,False,black,Sandali,Sandali sportivi
NG,Sneakers,Sneakers basse,155.0,155.0,False,beige,Sneakers,Sneakers basse
G,Brown,Stivaletti stringati,152.91,152.91,False,,Stivali & Stivaletti,Stivaletti
G,Xand 2S U35Bgb,Ciabattine,89.9,76.0,True,schwarz,Ciabatte & Pantofole,Ciabatte
G,Flextride F Plus,Sneakers basse,109.9,109.9,False,black,Sneakers,Sneakers basse
NG,Osaka Novi Light,Stivaletti stringati,157.05,157.05,False,t di moro,Stivali & Stivaletti,Stivaletti
G,Black,Scarpe senza lacci,129.9,129.9,False,,Sneakers,Sneakers basse
G,Monreale,Sneakers basse,94.99,94.99,False,gris,Sneakers,Sneakers basse
G,Spherica,Stivaletti stringati,129.9,129.9,False,navy,Stivali & Stivaletti,Stivaletti
G,Screziato Mottled Black,Scarpe senza lacci,99.0,84.0,True,,Sneakers,Sneakers basse
G,Light Brown,Stivaletti stringati,109.9,87.9,True,,Stivali & Stivaletti,Stivaletti
G,Spherica Actif X S,Sandali da trekking,89.9,89.9,False,military,Sandali,Sandali sportivi
G,Braun Coffee,Stivaletti stringati,89.9,89.9,False,,Stivali & Stivaletti,Stivaletti
G,Screziato-Mottled Black,Stivaletti,104.9,104.9,False,,Stivali & Stivaletti,Stivaletti
G,Ghita,Ciabattine,79.9,79.9,False,black,Ciabatte & Pantofole,Ciabatte
G,U656Ja0T522,Sneakers basse,149.0,119.2,True,white,Sneakers,Sneakers basse
G,Erice,Ciabattine,69.9,69.9,False,black,Ciabatte & Pantofole,Ciabatte
G,Leitan,Sneakers basse,99.9,99.9,False,noir,Sneakers,Sneakers basse
G,Spherica,Stivaletti stringati,168.87,168.87,False,military,Stivali & Stivaletti,Stivaletti
G,Spherica Ecub-1 B,Scarpe senza lacci,129.9,129.9,False,light brown,Sneakers,Sneakers basse
G,Mules À Enfiler Geox Flextride,Ciabattine,89.9,89.9,False,dove gris,Ciabatte & Pantofole,Ciabatte
G,Xand 2S,Sandali,99.0,99.0,False,navy,Sandali,Sandali aperti
NG,Talpa,Sneakers basse,189.0,151.15,True,,Sneakers,Sneakers basse
G,Spherica Actif X S,Sandali da trekking,89.9,89.9,False,navy,Sandali,Sandali sportivi
G,Blau,Sneakers basse,134.99,134.99,False,,Sneakers,Sneakers basse
C,Black,Stivaletti stringati,194.98,194.98,False,,Stivali & Stivaletti,Stivaletti
G,Siron Bleu 41,Mocassini,99.0,84.15,True,bleu,Mocassini,Mocassini
NG,Marrone,Stringate eleganti,134.9,134.9,False,,Scarpe eleganti,Stringate / Derby
G,Spherica Plus,Sneakers basse,139.9,139.9,False,screziato-mottled black,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,109.0,93.0,True,red,Sneakers,Sneakers basse
G,Schwarz C,Stivaletti stringati,89.9,89.9,False,,Stivali & Stivaletti,Stivaletti
G,Istria,Stringate sportive,99.9,99.9,False,dark blue,Sneakers,Sneakers basse
G,Black C,Stivaletti stringati,89.9,89.9,False,,Stivali & Stivaletti,Stivaletti
G,Black,Sneakers alte,143.95,143.95,False,,Sneakers,Sneakers alte
G,Flextride S,Ciabattine,89.9,89.9,False,navy (u652jb000ekc4002),Ciabatte & Pantofole,Ciabatte
G,Ghita,Ciabattine,89.9,89.9,False,black,Ciabatte & Pantofole,Ciabatte
G,Dark Blue,Stivaletti stringati,81.95,81.95,False,,Stivali & Stivaletti,Stivaletti
G,Taupe C,Stivaletti stringati,89.9,89.9,False,,Stivali & Stivaletti,Stivaletti
G,Blu,Stringate,109.9,109.9,False,,Scarpe eleganti,Stringate / Derby
G,Black,Sneakers alte,111.95,111.95,False,,Sneakers,Sneakers alte
G,Terreno Grip,Sandali da trekking,79.9,79.9,False,military,Sandali,Sandali sportivi
NG,Sneakers,Sneakers basse,169.5,169.5,False,blu,Sneakers,Sneakers basse
G,Dk Navy Black,Sandali da trekking,79.9,79.9,False,,Sandali,Sandali sportivi
G,Moner,Mocassini,139.9,139.9,False,black,Mocassini,Mocassini
G,Spherica Plus,Sneakers basse,99.95,99.95,False,black,Sneakers,Sneakers basse
G,C Graphite,Sneakers basse,116.91,116.91,False,,Sneakers,Sneakers basse
G,Screziato Mottled Black,Stivaletti stringati,104.9,104.9,False,,Stivali & Stivaletti,Stivaletti
G,Pelle,Stivaletti stringati,96.95,96.95,False,black,Stivali & Stivaletti,Stivaletti
G,C Dk Brown,Sneakers basse,129.9,129.9,False,,Sneakers,Sneakers basse
G,Baskets U55Mpa Geox,Sneakers basse,109.9,109.9,False,blue,Sneakers,Sneakers basse
C,Dark Brown Suede,Stringate sportive,120.0,120.0,False,,Sneakers,Sneakers basse
G,Istria,Stringate sportive,99.9,99.9,False,light brown,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,119.95,119.95,False,brown combi,Sneakers,Sneakers basse
G,Spherica Actif X S,Sandali da trekking,89.9,89.9,False,black,Sandali,Sandali sportivi
C,Wallabeegtx,Stringate sportive,230.0,230.0,False,maple suede,Sneakers,Sneakers basse
G,Schuhe U Parnaiba,Ciabattine,79.9,79.9,False,military ukac,Ciabatte & Pantofole,Ciabatte
NG,Anthracite,Stivaletti,159.0,159.0,False,,Stivali & Stivaletti,Stivaletti
NG,Arold,Scarpe senza lacci,154.0,154.0,False,mottled beige,Sneakers,Sneakers basse
C,Polacco Desert,Stivaletti stringati,150.0,120.0,True,marrone,Stivali & Stivaletti,Stivaletti
G,Granito,Stivaletti stringati,160.95,160.95,False,schwarz,Stivali & Stivaletti,Stivaletti
G,Spherica Actif,Sandali da trekking,99.99,99.99,False,schwarz,Sandali,Sandali sportivi
G,Dove Grey Black,Sandali da trekking,89.9,89.9,False,,Sandali,Sandali sportivi
G,Dark Navy Black,Sandali da trekking,89.9,89.9,False,,Sandali,Sandali sportivi
G,Capitale,Stringate eleganti,199.9,199.9,False,black,Scarpe eleganti,Stringate / Derby
G,Henreys,Stivaletti,110.0,110.0,False,screziato-mottled black,Stivali & Stivaletti,Stivaletti
C,185565,Stringate sportive,140.0,119.0,True,brown,Sneakers,Sneakers basse
NG,Taupe,Sneakers alte,94.99,94.99,False,,Sneakers,Sneakers alte
G,Musk Black,Sandali da trekking,89.9,89.9,False,,Sandali,Sandali sportivi
NG,Ilcea Tr Novi Light,Stivaletti,179.0,125.3,True,nero,Stivali & Stivaletti,Stivaletti
G,Black,Mocassini,98.9,98.9,False,,Mocassini,Mocassini
NG,Exton  Mocassino Pembrey In Vitello Toscano,Scarpe senza lacci,169.5,169.5,False,t.moro,Sneakers,Sneakers basse
NG,Nero,Stivaletti,192.0,192.0,False,,Stivali & Stivaletti,Stivaletti
G,Ghita,Ciabattine,79.9,79.9,False,dove grey,Ciabatte & Pantofole,Ciabatte
G,Sandal Ghita B Marron 40,Ciabattine,84.99,84.99,False,marron,Ciabatte & Pantofole,Ciabatte
G,Military/Black C,Stivaletti stringati,197.71,142.31,True,,Stivali & Stivaletti,Stivaletti
G,Henreys,Stivaletti,110.0,110.0,False,mottled beige,Stivali & Stivaletti,Stivaletti
C,Badell Hi Wp,Stivaletti stringati,142.31,142.31,False,schwarz,Stivali & Stivaletti,Stivaletti
NG,Exton  Mocassino Pembrey In Vitello Toscano,Scarpe senza lacci,169.5,169.5,False,jeans,Sneakers,Sneakers basse
G,Schuhe U Parnaiba,Ciabattine,79.9,79.9,False,yellow,Ciabatte & Pantofole,Ciabatte
G,Marron Clair Rust,Sandali da trekking,62.9,62.9,False,,Sandali,Sandali sportivi
G,Federico,Stringate eleganti,95.9,95.9,False,black,Scarpe eleganti,Stringate / Derby
C,Desert Bt Evo,Stivaletti stringati,109.74,109.74,False,blue,Stivali & Stivaletti,Stivaletti
C,Lockford Easy,Scarpe senza lacci,89.99,89.99,False,brown,Sneakers,Sneakers basse
C,Sneaker,Sneakers basse,101.99,101.99,False,grau,Sneakers,Sneakers basse
C,Atticus,Stringate eleganti,99.99,99.99,False,black,Scarpe eleganti,Stringate / Derby
C,Craftremi Lace,Stringate,109.99,109.99,False,black,Scarpe eleganti,Stringate / Derby
G,Wells,Sneakers basse,99.99,64.99,True,dark grey,Sneakers,Sneakers basse
C,Howard Cap,Stringate,99.99,99.99,False,black,Scarpe eleganti,Stringate / Derby
C,Torview,Stringate,129.99,83.99,True,black,Scarpe eleganti,Stringate / Derby
G,Adacter M,Stringate sportive,79.9,63.5,True,navy,Sneakers,Sneakers basse
C,Craftremi Tip,Stringate,114.99,97.99,True,black,Scarpe eleganti,Stringate / Derby
C,Grau,Stringate sportive,109.98,109.98,False,,Sneakers,Sneakers basse
C,Craftremi,Stringate eleganti,123.38,123.38,False,braun,Scarpe eleganti,Stringate / Derby
C,Wallabee,Stringate sportive,119.99,119.99,False,black,Sneakers,Sneakers basse
C,Un Costa Lace,Sneakers basse,110.0,110.0,False,navy,Sneakers,Sneakers basse
C,Costa Lace,Sneakers basse,110.0,110.0,False,white,Sneakers,Sneakers basse
C,Craftremi Lace,Stringate,109.99,109.99,False,brown,Scarpe eleganti,Stringate / Derby
C,Step Urban Mix,Sneakers basse,47.4,47.4,False,navy,Sneakers,Sneakers basse
C,Aldwin Step,Scarpe senza lacci,109.99,109.99,False,black,Sneakers,Sneakers basse
C,Craftremi Tip,Stringate,114.99,114.99,False,tan,Scarpe eleganti,Stringate / Derby
C,Goswell Tie,Sneakers basse,109.0,96.0,True,braun,Sneakers,Sneakers basse
C,Torview,Stringate sportive,139.99,139.99,False,multi-coloured,Sneakers,Sneakers basse
G,Deiven,Sneakers basse,109.95,109.95,False,light brown,Sneakers,Sneakers basse
C,Aldwin,Stringate,115.4,115.4,False,beige,Scarpe eleganti,Stringate / Derby
G,Spherica,Scarpe senza lacci,129.9,129.9,False,coffee,Sneakers,Sneakers basse
G,Symbol,Stringate sportive,116.95,116.95,False,browncotto,Sneakers,Sneakers basse
G,Flextride,Sneakers basse,87.9,87.9,False,white,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,129.99,129.99,False,light pink,Sneakers,Sneakers basse
G,Navy,Sneakers basse,87.9,87.9,False,,Sneakers,Sneakers basse
C,Blau,Stringate sportive,109.98,109.98,False,,Sneakers,Sneakers basse
C,Nature Three,Stringate sportive,139.95,139.95,False,black,Sneakers,Sneakers basse
C,Clarks Lifestyle-Schuhe M Radwell Tie,Sneakers basse,102.82,102.82,False,cola suede g,Sneakers,Sneakers basse
G,Massimiano,Scarpe senza lacci,74.9,74.9,False,dark blue,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,139.99,90.99,True,green,Sneakers,Sneakers basse
C,Black Leather,Stringate eleganti,85.0,85.0,False,,Scarpe eleganti,Stringate / Derby
C,Newford,Stivaletti,119.95,119.95,False,brown leather,Stivali & Stivaletti,Stivaletti
C,Craftarlo Limit,Stringate,119.99,119.99,False,black leather,Scarpe eleganti,Stringate / Derby
C,Craft James Lo,Scarpe senza lacci,159.99,159.99,False,dark green combination,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,135.95,135.95,False,wine,Sneakers,Sneakers basse
C,Dark Sand Suede,Stringate sportive,114.98,96.95,True,,Sneakers,Sneakers basse
C,Halbschuhe,Scarpe da barca,98.95,98.95,False,navy nubuck,Mocassini,Boat shoes
G,Ecub,Sneakers basse,123.98,111.55,True,white navy,Sneakers,Sneakers basse
G,Deiven,Sneakers basse,109.9,109.9,False,navy,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,135.95,135.95,False,military,Sneakers,Sneakers basse
G,Black,Scarpe senza lacci,95.9,95.9,False,,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,105.0,105.0,False,dark red,Sneakers,Sneakers basse
C,Desert,Stivaletti stringati,109.99,109.99,False,brown,Stivali & Stivaletti,Stivaletti
C,Beeswax Leather,Stringate sportive,204.0,204.0,False,,Sneakers,Sneakers basse
C,Un Aldric,Stringate eleganti,130.9,130.9,False,black,Scarpe eleganti,Stringate / Derby
C,Courtlite Run,Sneakers basse,103.2,103.2,False,white,Sneakers,Sneakers basse
G,Walee,Sneakers basse,94.99,94.99,False,grün,Sneakers,Sneakers basse
C,Howard Walk,Stringate eleganti,99.99,99.99,False,dark tan,Scarpe eleganti,Stringate / Derby
C,Craftjames,Mocassini eleganti,159.99,159.99,False,brown,Mocassini,Mocassini
C,Badbury Hi,Stivaletti stringati,103.9,103.9,False,black wlined lea,Stivali & Stivaletti,Stivaletti
G,Spherica,Stivaletti stringati,150.0,150.0,False,dark brown,Stivali & Stivaletti,Stivaletti
G,Ecub,Sneakers basse,90.0,90.0,False,navy,Sneakers,Sneakers basse
G,Cordusio,Stringate sportive,103.9,103.9,False,navy,Sneakers,Sneakers basse
G,Spherica,Sandali da trekking,99.99,99.99,False,black,Sandali,Sandali sportivi
G,Black,Stivaletti,207.87,207.87,False,,Stivali & Stivaletti,Stivaletti
G,Navy,Sneakers basse,142.24,99.95,True,,Sneakers,Sneakers basse
G,Wine,Stivaletti stringati,96.95,96.95,False,,Stivali & Stivaletti,Stivaletti
C,Off White Int,Stringate sportive,129.6,129.6,False,,Sneakers,Sneakers basse
G,White  C,Sneakers basse,126.95,126.95,False,,Sneakers,Sneakers basse
C,Aldwin,Stringate eleganti,141.78,111.58,True,black leather,Scarpe eleganti,Stringate / Derby
G,Toffee,Sneakers basse,123.98,111.55,True,,Sneakers,Sneakers basse
G,Spherica,Stivaletti stringati,168.87,168.87,False,dove grey,Stivali & Stivaletti,Stivaletti
G,Browncotto,Sneakers basse,130.0,116.95,True,,Sneakers,Sneakers basse
C,Khaki,Sneakers basse,87.18,87.18,False,,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,136.16,136.16,False,white green,Sneakers,Sneakers basse
NG,Marrone,Sneakers alte,144.0,144.0,False,,Sneakers,Sneakers alte
C,Craftarlo Lace,Stringate eleganti,119.99,119.99,False,tan,Scarpe eleganti,Stringate / Derby
G,Spherica,Sneakers basse,125.95,125.95,False,dove grey black,Sneakers,Sneakers basse
G,Snake Original,Sneakers basse,116.63,116.63,False,black,Sneakers,Sneakers basse
C,Black,Sneakers basse,85.0,85.0,False,,Sneakers,Sneakers basse
G,Weiß,Sneakers basse,115.68,115.68,False,,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,119.95,119.95,False,taupe,Sneakers,Sneakers basse
G,Sneaker,Sneakers basse,118.95,118.95,False,black c,Sneakers,Sneakers basse
G,Spherica,Stringate sportive,99.95,99.95,False,navy,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,89.68,89.68,False,blau,Sneakers,Sneakers basse
NG,Marrone,Stivaletti,155.0,108.5,True,,Stivali & Stivaletti,Stivaletti
G,Pove,Stivaletti stringati,193.8,130.0,True,black,Stivali & Stivaletti,Stivaletti
G,Spherica,Stivaletti,129.9,129.9,False,navy,Stivali & Stivaletti,Stivaletti
C,White Combi,Sneakers basse,96.98,87.25,True,,Sneakers,Sneakers basse
C,Meare Mocc,Ciabattine,109.99,109.99,False,dark sand suede,Ciabatte & Pantofole,Ciabatte
NG,Nero,Sneakers alte,144.0,144.0,False,,Sneakers,Sneakers alte
NG,Marrone,Stivaletti stringati,135.6,135.6,False,,Stivali & Stivaletti,Stivaletti
G,Granito  Grip,Sneakers alte,128.64,128.64,False,navy,Sneakers,Sneakers alte
NG,Fango,Sneakers basse,199.9,199.9,False,,Sneakers,Sneakers basse
C,Oakwood,Stringate sportive,140.0,140.0,False,,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,130.0,130.0,False,navy dark avio,Sneakers,Sneakers basse
NG,Marrone,Stringate,141.0,141.0,False,,Scarpe eleganti,Stringate / Derby
NG,Marrone,Stivaletti stringati,112.0,112.0,False,,Stivali & Stivaletti,Stivaletti
NG,Blu,Stringate eleganti,159.5,159.5,False,,Scarpe eleganti,Stringate / Derby
C,Clarkridge Hi,Stivaletti stringati,189.98,189.98,False,black,Stivali & Stivaletti,Stivaletti
C,Khaki,Stivaletti stringati,159.0,159.0,False,,Stivali & Stivaletti,Stivaletti
G,Grip B Ab,Sneakers basse,207.87,207.87,False,black,Sneakers,Sneakers basse
C,Desert,Stivaletti stringati,150.0,150.0,False,cola,Stivali & Stivaletti,Stivaletti
G,Black,Stivaletti,89.93,89.93,False,,Stivali & Stivaletti,Stivaletti
G,Spherica Ecub-1,Sneakers alte,99.95,99.95,False,dark coffee,Sneakers,Sneakers alte
G,Brayden 2Fit Abx B,Stivaletti,159.9,159.9,False,black,Stivali & Stivaletti,Stivaletti
G,Spherica Actif,Stivaletti stringati,275.0,275.0,False,black,Stivali & Stivaletti,Stivaletti
C,Brown,Mocassini,114.0,114.0,False,,Mocassini,Mocassini
G,Portello,Sneakers basse,74.9,74.9,False,dark blue,Sneakers,Sneakers basse
C,Courtliterun Nubuk 26176724,Sneakers basse,130.0,130.0,False,blue,Sneakers,Sneakers basse
C,Navy,Stringate sportive,137.98,137.98,False,,Sneakers,Sneakers basse
C,Berhill Midgtx,Stivaletti stringati,180.0,180.0,False,braun,Stivali & Stivaletti,Stivaletti
G,Brayden,Stivaletti stringati,169.9,169.9,False,black,Stivali & Stivaletti,Stivaletti
G,Grau,Sneakers basse,135.95,135.95,False,,Sneakers,Sneakers basse
G,Meiern,Stivaletti stringati,129.9,116.91,True,coffee,Stivali & Stivaletti,Stivaletti
NG,Bianco,Sneakers basse,122.9,122.9,False,,Sneakers,Sneakers basse
G,Black,Sneakers basse,74.9,74.9,False,,Sneakers,Sneakers basse
G,Snake 2.0,Sneakers basse,118.95,118.95,False,skin,Sneakers,Sneakers basse
G,Screziato Mottled Black,Stivaletti stringati,110.0,110.0,False,,Stivali & Stivaletti,Stivaletti
C,Batcombe,Stringate eleganti,156.16,131.11,True,black,Scarpe eleganti,Stringate / Derby
NG,Marrone,Stivaletti stringati,171.0,171.0,False,,Stivali & Stivaletti,Stivaletti
C,Sand Combi,Sneakers basse,105.0,84.0,True,,Sneakers,Sneakers basse
C,Torhill,Stringate sportive,129.95,129.95,False,dark brown,Sneakers,Sneakers basse
C,Torhill Hi,Stringate sportive,130.0,130.0,False,black,Sneakers,Sneakers basse
C,Clarkwood,Stringate sportive,139.98,139.98,False,navy,Sneakers,Sneakers basse
G,Xand 2S,Sandali,99.0,99.0,False,military,Sandali,Sandali aperti
G,Spherica Plus,Sneakers basse,97.0,97.0,False,military,Sneakers,Sneakers basse
C,Saltway Cove,Sandali da trekking,123.98,111.55,True,marron,Sandali,Sandali sportivi
C,Nature Three,Stringate sportive,128.55,128.55,False,mahagony,Sneakers,Sneakers basse
G,C Grey,Sneakers basse,99.95,99.95,False,,Sneakers,Sneakers basse
G,Spherica,Stringate sportive,168.87,168.87,False,brown cotto,Sneakers,Sneakers basse
G,Spherica Ecub,Sneakers basse,83.93,83.93,False,black,Sneakers,Sneakers basse
G,Basket Spherica,Sneakers basse,83.93,83.93,False,marine,Sneakers,Sneakers basse
C,Torhill Lo,Stringate sportive,111.55,111.55,False,dark olive combi,Sneakers,Sneakers basse
NG,Blu,Sneakers basse,111.6,111.6,False,,Sneakers,Sneakers basse
NG,Nero,Sneakers alte,136.0,136.0,False,,Sneakers,Sneakers alte
G,Ice/White,Sneakers basse,124.15,124.15,False,,Sneakers,Sneakers basse
C,Weiß,Sneakers basse,119.2,119.2,False,,Sneakers,Sneakers basse
NG,Brown,Stivaletti stringati,141.9,141.9,False,,Stivali & Stivaletti,Stivaletti
G,Navy,Sneakers basse,116.95,116.95,False,,Sneakers,Sneakers basse
C,Polden,Stringate sportive,139.0,139.0,False,a grey canvas,Sneakers,Sneakers basse
C,Batcombe Lord,Stivaletti stringati,152.95,152.95,False,noir,Stivali & Stivaletti,Stivaletti
C,Navy Suede,Scarpe senza lacci,114.98,103.45,True,,Sneakers,Sneakers basse
C,Black Leather,Stivaletti stringati,139.99,139.99,False,,Stivali & Stivaletti,Stivaletti
NG,Nero,Stivaletti,149.5,149.5,False,,Stivali & Stivaletti,Stivaletti
C,Rossdale,Stivaletti stringati,179.26,179.26,False,brown wlined lea,Stivali & Stivaletti,Stivaletti
G,Monet,Mocassini,94.98,94.98,False,blue,Mocassini,Mocassini
G,Spherica Ecub 1,Scarpe senza lacci,155.87,155.87,False,navy,Sneakers,Sneakers basse
C,Dark Sand Wlined,Stivaletti stringati,161.95,161.95,False,,Stivali & Stivaletti,Stivaletti
